        Date        , GPU Clock [MHz] , Memory Clock [MHz] , GPU Temperature [°C] , Hot Spot [°C] , Memory Temperature [°C] , Fan 1 Speed (%) [%] , Fan 1 Speed (RPM) [RPM] , Fan 2 Speed (%) [%] , Fan 2 Speed (RPM) [RPM] , Memory Used [MB] , GPU Load [%] , Memory Controller Load [%] , Video Engine Load [%] , Bus Interface Load [%] , Board Power Draw [W] , GPU Chip Power Draw [W] , MVDDC Power Draw [W] , PWR_SRC Power Draw [W] , PWR_SRC Voltage [V] , PCIe Slot Power [W] , PCIe Slot Voltage [V] , 16-Pin Power [W] , 16-Pin Voltage [V] , Power Consumption (%) [% TDP] , PerfCap Reason [] , GPU Voltage [V] , CPU Temperature [°C] , System Memory Used [MB] ,
2026-02-12 18:13:49 ,         210.0   ,             50.6   ,               42.5   ,        51.2   ,                  46.0   ,                30   ,                  1046   ,                30   ,                  1041   ,            911   ,         15   ,                       12   ,                   0   ,                    0   ,                5.7   ,                   0.7   ,                2.9   ,                  4.9   ,              12.2   ,               2.1   ,                12.1   ,            3.6   ,             12.3   ,                         1.3   ,              16   ,        0.8700   ,               29.0   ,                 10380   ,
2026-02-12 18:13:50 ,         210.0   ,             50.6   ,               42.4   ,        51.2   ,                  46.0   ,                30   ,                  1039   ,                30   ,                  1042   ,            916   ,          3   ,                        3   ,                   0   ,                    0   ,                7.4   ,                   0.5   ,                4.9   ,                  7.0   ,              12.2   ,               2.0   ,                12.1   ,            5.4   ,             12.3   ,                         1.6   ,              16   ,        0.8700   ,               30.0   ,                 10383   ,
2026-02-12 18:13:51 ,         210.0   ,             50.6   ,               42.2   ,        51.0   ,                  46.0   ,                30   ,                  1038   ,                30   ,                  1042   ,            911   ,          2   ,                        6   ,                   0   ,                    0   ,                5.5   ,                   0.9   ,                2.6   ,                  4.6   ,              12.2   ,               2.0   ,                12.1   ,              -   ,                -   ,                         1.2   ,              16   ,        0.8700   ,               29.0   ,                 10384   ,
2026-02-12 18:13:52 ,         210.0   ,             50.6   ,               42.1   ,        50.8   ,                  44.0   ,                30   ,                  1045   ,                30   ,                  1043   ,            911   ,         13   ,                       12   ,                   0   ,                    0   ,                7.8   ,                   0.5   ,                5.2   ,                  7.3   ,              12.2   ,               2.1   ,                12.1   ,            5.7   ,             12.3   ,                         1.7   ,              16   ,        0.8700   ,               29.0   ,                 10377   ,
2026-02-12 18:13:53 ,         210.0   ,             50.6   ,               42.0   ,        50.6   ,                  44.0   ,                30   ,                  1044   ,                30   ,                  1043   ,            911   ,         10   ,                        5   ,                   0   ,                    1   ,                7.5   ,                   0.8   ,                4.8   ,                  6.8   ,              12.2   ,               2.0   ,                12.1   ,            5.5   ,             12.3   ,                         1.7   ,              16   ,        0.8700   ,               30.0   ,                 10381   ,
2026-02-12 18:13:54 ,         210.0   ,             50.6   ,               41.9   ,        50.5   ,                  44.0   ,                30   ,                  1046   ,                30   ,                  1043   ,            914   ,          9   ,                        5   ,                   0   ,                    1   ,                7.0   ,                   0.6   ,                4.4   ,                  6.4   ,              12.2   ,               2.0   ,                12.1   ,            5.0   ,             12.3   ,                         1.6   ,              16   ,        0.8700   ,               29.0   ,                 10388   ,
2026-02-12 18:13:55 ,         210.0   ,             50.6   ,               41.8   ,        50.3   ,                  46.0   ,                30   ,                  1038   ,                30   ,                  1042   ,            921   ,         14   ,                        8   ,                   0   ,                    3   ,                7.3   ,                   0.4   ,                4.8   ,                  6.9   ,              12.2   ,               2.1   ,                12.1   ,            5.3   ,             12.3   ,                         1.6   ,              16   ,        0.8700   ,               30.0   ,                 10386   ,
2026-02-12 18:13:56 ,         210.0   ,             50.6   ,               41.5   ,        50.0   ,                  44.0   ,                30   ,                  1041   ,                30   ,                  1042   ,            921   ,          0   ,                       21   ,                   0   ,                    0   ,                5.3   ,                   1.4   ,                1.8   ,                  3.9   ,              12.2   ,               2.1   ,                12.1   ,            3.3   ,             12.3   ,                         1.2   ,              16   ,        0.8700   ,               33.0   ,                 10418   ,
2026-02-12 18:13:57 ,         210.0   ,             50.6   ,               41.4   ,        50.0   ,                  44.0   ,                30   ,                  1044   ,                30   ,                  1042   ,            921   ,          0   ,                        9   ,                   0   ,                    0   ,                5.2   ,                   1.4   ,                1.8   ,                  3.8   ,              12.2   ,               2.0   ,                12.1   ,            3.2   ,             12.3   ,                         1.2   ,              16   ,        0.8700   ,               34.0   ,                 10443   ,
2026-02-12 18:13:58 ,         210.0   ,             50.6   ,               41.3   ,        49.9   ,                  44.0   ,                30   ,                  1037   ,                30   ,                  1043   ,            956   ,         10   ,                       11   ,                   0   ,                    4   ,                6.9   ,                   0.4   ,                4.5   ,                  6.5   ,              12.2   ,               2.0   ,                12.1   ,            4.9   ,             12.3   ,                         1.5   ,              16   ,        0.8700   ,               31.0   ,                 10478   ,
2026-02-12 18:13:59 ,         210.0   ,             50.6   ,               41.3   ,        49.8   ,                  44.0   ,                30   ,                  1037   ,                30   ,                  1042   ,            934   ,         26   ,                        9   ,                   0   ,                    8   ,                9.5   ,                   0.5   ,                6.9   ,                  8.9   ,              12.3   ,               2.1   ,                12.1   ,            7.4   ,             12.3   ,                         2.1   ,              16   ,        0.8700   ,               31.0   ,                 10539   ,
2026-02-12 18:14:00 ,        2520.0   ,           1312.7   ,               42.4   ,        50.3   ,                  44.0   ,                30   ,                  1043   ,                30   ,                  1043   ,            933   ,          1   ,                        0   ,                   0   ,                    0   ,               48.7   ,                  19.5   ,               23.2   ,                 29.2   ,              12.2   ,               6.0   ,                12.1   ,           42.7   ,             12.3   ,                        10.8   ,              16   ,        0.9600   ,               36.0   ,                 10639   ,
2026-02-12 18:14:01 ,        2520.0   ,           1312.7   ,               42.4   ,        50.3   ,                  46.0   ,                30   ,                  1036   ,                30   ,                  1041   ,            909   ,          1   ,                        0   ,                   0   ,                    0   ,               48.6   ,                  19.4   ,               23.1   ,                 29.2   ,              12.2   ,               6.1   ,                12.1   ,           42.5   ,             12.3   ,                        10.8   ,              16   ,        0.9600   ,               31.0   ,                 10585   ,
2026-02-12 18:14:02 ,        2520.0   ,           1312.7   ,               42.4   ,        50.3   ,                  46.0   ,                30   ,                  1040   ,                30   ,                  1042   ,            909   ,          1   ,                        0   ,                   0   ,                    0   ,               48.7   ,                  19.4   ,               23.1   ,                 29.3   ,              12.2   ,               6.1   ,                12.1   ,           42.6   ,             12.3   ,                        10.8   ,              16   ,        0.9600   ,               35.0   ,                 10590   ,
2026-02-12 18:14:03 ,         480.0   ,            101.3   ,               41.4   ,        49.8   ,                  46.0   ,                30   ,                  1048   ,                30   ,                  1043   ,            909   ,          3   ,                        2   ,                   0   ,                    1   ,               16.8   ,                   4.3   ,                9.8   ,                 12.6   ,              12.3   ,               2.8   ,                12.1   ,           14.1   ,             12.3   ,                         3.7   ,              16   ,        0.8850   ,               33.0   ,                 10608   ,
2026-02-12 18:14:04 ,         300.0   ,             50.6   ,               41.0   ,        49.4   ,                  44.0   ,                30   ,                  1044   ,                30   ,                  1044   ,            909   ,          4   ,                        2   ,                   0   ,                    1   ,                7.9   ,                   0.5   ,                5.2   ,                  7.4   ,              12.3   ,               2.1   ,                12.1   ,            5.8   ,             12.3   ,                         1.8   ,              16   ,        0.8700   ,               37.0   ,                 10709   ,
2026-02-12 18:14:05 ,        2520.0   ,           1312.7   ,               41.9   ,        49.8   ,                  46.0   ,                30   ,                  1042   ,                30   ,                  1044   ,            909   ,          2   ,                        1   ,                   0   ,                    0   ,               48.5   ,                  19.2   ,               23.2   ,                 29.3   ,              12.2   ,               6.1   ,                12.1   ,           42.4   ,             12.3   ,                        10.8   ,              16   ,        0.9600   ,               37.0   ,                 10603   ,
2026-02-12 18:14:06 ,        2520.0   ,           1312.7   ,               42.0   ,        49.9   ,                  46.0   ,                30   ,                  1040   ,                30   ,                  1043   ,            909   ,          2   ,                        0   ,                   0   ,                    0   ,               48.4   ,                  19.1   ,               23.2   ,                 29.3   ,              12.2   ,               6.0   ,                12.1   ,           42.3   ,             12.3   ,                        10.8   ,              16   ,        0.9600   ,               36.0   ,                 10690   ,
2026-02-12 18:14:07 ,        2520.0   ,           1312.7   ,               42.0   ,        49.9   ,                  46.0   ,                30   ,                  1034   ,                30   ,                  1044   ,            909   ,          1   ,                        0   ,                   0   ,                    0   ,               48.5   ,                  19.3   ,               23.2   ,                 29.2   ,              12.2   ,               6.1   ,                12.1   ,           42.5   ,             12.3   ,                        10.8   ,              16   ,        0.9600   ,               37.0   ,                 10701   ,
2026-02-12 18:14:08 ,        2520.0   ,           1312.7   ,               42.0   ,        49.9   ,                  46.0   ,                30   ,                  1036   ,                30   ,                  1044   ,            909   ,          1   ,                        0   ,                   0   ,                    0   ,               48.5   ,                  19.2   ,               23.3   ,                 29.3   ,              12.2   ,               6.0   ,                12.1   ,           42.5   ,             12.3   ,                        10.8   ,              16   ,        0.9600   ,               30.0   ,                 10604   ,
2026-02-12 18:14:09 ,        2520.0   ,           1312.7   ,               42.0   ,        49.9   ,                  46.0   ,                30   ,                  1032   ,                30   ,                  1042   ,            909   ,          1   ,                        0   ,                   0   ,                    0   ,               48.4   ,                  19.2   ,               23.2   ,                 29.2   ,              12.2   ,               6.0   ,                12.1   ,           42.4   ,             12.3   ,                        10.8   ,              16   ,        0.9600   ,               30.0   ,                 10633   ,
2026-02-12 18:14:10 ,        2520.0   ,           1312.7   ,               42.0   ,        49.8   ,                  46.0   ,                30   ,                  1040   ,                30   ,                  1043   ,            909   ,          1   ,                        0   ,                   0   ,                    0   ,               48.4   ,                  19.3   ,               23.1   ,                 29.1   ,              12.2   ,               6.0   ,                12.1   ,           42.4   ,             12.3   ,                        10.8   ,              16   ,        0.9600   ,               28.0   ,                 10628   ,
2026-02-12 18:14:11 ,         465.0   ,            101.3   ,               41.0   ,        49.3   ,                  44.0   ,                30   ,                  1039   ,                30   ,                  1043   ,            909   ,          3   ,                        2   ,                   0   ,                    0   ,               16.3   ,                   3.9   ,                9.7   ,                 12.3   ,              12.3   ,               2.7   ,                12.1   ,           13.6   ,             12.3   ,                         3.6   ,              16   ,        0.8850   ,               29.0   ,                 10623   ,
2026-02-12 18:14:12 ,         300.0   ,             50.6   ,               40.6   ,        48.9   ,                  44.0   ,                30   ,                  1040   ,                30   ,                  1044   ,            909   ,          4   ,                        4   ,                   0   ,                    1   ,                6.9   ,                   0.4   ,                4.4   ,                  6.4   ,              12.2   ,               2.0   ,                12.1   ,            4.8   ,             12.3   ,                         1.5   ,              16   ,        0.8750   ,               29.0   ,                 10628   ,
2026-02-12 18:14:13 ,         210.0   ,             50.6   ,               40.4   ,        48.8   ,                  44.0   ,                30   ,                  1042   ,                30   ,                  1044   ,            909   ,          6   ,                        5   ,                   0   ,                    1   ,                6.7   ,                   0.4   ,                4.3   ,                  6.3   ,              12.3   ,               2.0   ,                12.1   ,            4.7   ,             12.3   ,                         1.5   ,              16   ,        0.8750   ,               31.0   ,                 10626   ,
