        Date        , GPU Clock [MHz] , Memory Clock [MHz] , GPU Temperature [°C] , Hot Spot [°C] , Memory Temperature [°C] , Fan 1 Speed (%) [%] , Fan 1 Speed (RPM) [RPM] , Fan 2 Speed (%) [%] , Fan 2 Speed (RPM) [RPM] , Memory Used [MB] , GPU Load [%] , Memory Controller Load [%] , Video Engine Load [%] , Bus Interface Load [%] , Board Power Draw [W] , GPU Chip Power Draw [W] , MVDDC Power Draw [W] , PWR_SRC Power Draw [W] , PWR_SRC Voltage [V] , PCIe Slot Power [W] , PCIe Slot Voltage [V] , 16-Pin Power [W] , 16-Pin Voltage [V] , Power Consumption (%) [% TDP] , PerfCap Reason [] , GPU Voltage [V] , CPU Temperature [°C] , System Memory Used [MB] ,
2026-02-12 13:20:34 ,         210.0   ,             50.6   ,               35.4   ,        43.7   ,                  36.0   ,                30   ,                  1013   ,                30   ,                  1013   ,            434   ,          0   ,                        0   ,                   0   ,                    0   ,                5.8   ,                   2.9   ,                0.7   ,                  2.9   ,              12.2   ,               2.1   ,                12.1   ,            3.6   ,             12.1   ,                         1.3   ,              16   ,        0.8750   ,               30.0   ,                  9563   ,
2026-02-12 13:20:35 ,         210.0   ,             50.6   ,               35.3   ,        43.7   ,                  36.0   ,                30   ,                  1013   ,                30   ,                  1014   ,            434   ,          0   ,                        0   ,                   0   ,                    0   ,                5.9   ,                   3.0   ,                0.8   ,                  2.9   ,              12.2   ,               2.2   ,                12.1   ,            3.7   ,             12.1   ,                         1.3   ,              16   ,        0.8750   ,               28.0   ,                  9562   ,
2026-02-12 13:20:36 ,         210.0   ,             50.6   ,               35.2   ,        43.6   ,                  36.0   ,                30   ,                  1012   ,                30   ,                  1013   ,            434   ,          0   ,                        0   ,                   0   ,                    0   ,                5.8   ,                   3.0   ,                0.7   ,                  2.8   ,              12.2   ,               2.1   ,                12.1   ,            3.6   ,             12.1   ,                         1.3   ,              16   ,        0.8750   ,               28.0   ,                  9559   ,
2026-02-12 13:20:37 ,         210.0   ,             50.6   ,               35.2   ,        43.5   ,                  36.0   ,                30   ,                  1012   ,                30   ,                  1014   ,            434   ,          0   ,                        0   ,                   0   ,                    0   ,                5.7   ,                   2.9   ,                0.6   ,                  2.8   ,              12.2   ,               2.2   ,                12.1   ,            3.5   ,             12.1   ,                         1.7   ,              16   ,        0.8750   ,               30.0   ,                  9575   ,
2026-02-12 13:20:38 ,         210.0   ,             50.6   ,               35.1   ,        43.5   ,                  36.0   ,                30   ,                  1011   ,                30   ,                  1014   ,            434   ,          0   ,                        0   ,                   0   ,                    0   ,                5.8   ,                   2.9   ,                0.7   ,                  2.8   ,              12.1   ,               2.1   ,                12.1   ,            3.6   ,             12.1   ,                         1.3   ,              16   ,        0.8750   ,               31.0   ,                  9578   ,
2026-02-12 13:20:39 ,         210.0   ,             50.6   ,               35.1   ,        43.6   ,                  36.0   ,                30   ,                  1014   ,                30   ,                  1012   ,            434   ,          1   ,                        0   ,                   0   ,                    0   ,                6.0   ,                   3.1   ,                0.7   ,                  2.9   ,              12.1   ,               2.2   ,                12.1   ,            3.8   ,             12.1   ,                         1.3   ,              16   ,        0.8750   ,               30.0   ,                  9749   ,
2026-02-12 13:20:40 ,        2520.0   ,           1312.7   ,               36.1   ,        43.9   ,                  38.0   ,                30   ,                  1013   ,                30   ,                  1010   ,            752   ,          3   ,                        1   ,                   0   ,                    0   ,               57.8   ,                  28.8   ,               22.8   ,                 29.0   ,              12.1   ,               6.3   ,                12.1   ,           51.5   ,             12.1   ,                        12.8   ,              16   ,        0.9500   ,               33.0   ,                  9988   ,
2026-02-12 13:20:41 ,        2520.0   ,           1312.7   ,               36.3   ,        44.1   ,                  38.0   ,                30   ,                  1014   ,                30   ,                  1011   ,            436   ,          0   ,                        0   ,                   0   ,                    0   ,               55.1   ,                  26.2   ,               22.6   ,                 28.9   ,              12.1   ,               6.3   ,                12.1   ,           48.8   ,             12.1   ,                        12.2   ,              16   ,        0.9500   ,               31.0   ,                 10068   ,
2026-02-12 13:20:42 ,         600.0   ,            101.3   ,               35.9   ,        44.2   ,                  38.0   ,                30   ,                  1012   ,                30   ,                  1012   ,            436   ,          0   ,                        0   ,                   0   ,                    0   ,               46.6   ,                  22.2   ,               19.0   ,                 24.4   ,              12.1   ,               5.4   ,                12.1   ,           41.2   ,             12.1   ,                        10.4   ,              16   ,        0.8900   ,               38.0   ,                 10040   ,
2026-02-12 13:20:43 ,         360.0   ,             50.6   ,               35.2   ,        43.6   ,                  36.0   ,                30   ,                  1012   ,                30   ,                  1013   ,            436   ,          0   ,                        0   ,                   0   ,                    0   ,                6.6   ,                   3.4   ,                0.9   ,                  3.1   ,              12.2   ,               2.3   ,                12.1   ,            4.3   ,             12.1   ,                         1.5   ,              16   ,        0.8750   ,               36.0   ,                 10201   ,
2026-02-12 13:20:44 ,         210.0   ,             50.6   ,               35.0   ,        43.4   ,                  36.0   ,                30   ,                  1012   ,                30   ,                  1013   ,            436   ,          0   ,                        0   ,                   0   ,                    0   ,                5.7   ,                   2.9   ,                0.6   ,                  2.7   ,              12.1   ,               2.2   ,                12.1   ,            3.5   ,             12.2   ,                         1.3   ,              16   ,        0.8750   ,               40.0   ,                 10340   ,
2026-02-12 13:20:45 ,         210.0   ,             50.6   ,               34.9   ,        43.3   ,                  38.0   ,                30   ,                  1012   ,                30   ,                  1014   ,            436   ,          0   ,                        0   ,                   0   ,                    0   ,                4.9   ,                   2.6   ,                0.2   ,                  2.3   ,              12.2   ,               2.1   ,                12.1   ,            2.8   ,             12.1   ,                         1.1   ,              16   ,        0.8750   ,               30.0   ,                 10333   ,
2026-02-12 13:20:46 ,         210.0   ,             50.6   ,               34.8   ,        43.2   ,                  36.0   ,                30   ,                  1013   ,                30   ,                  1016   ,            436   ,          0   ,                        0   ,                   0   ,                    0   ,                5.0   ,                   2.6   ,                0.2   ,                  2.4   ,              12.1   ,               2.2   ,                12.1   ,            2.7   ,             12.1   ,                         1.1   ,              16   ,        0.8750   ,               30.0   ,                 10332   ,
2026-02-12 13:20:47 ,        2520.0   ,           1281.5   ,               35.6   ,        43.5   ,                  36.0   ,                30   ,                  1012   ,                30   ,                  1015   ,            836   ,          1   ,                        0   ,                   0   ,                    0   ,               41.5   ,                  20.5   ,               16.3   ,                 21.0   ,              12.1   ,               4.7   ,                12.1   ,           36.8   ,             12.1   ,                         9.2   ,              16   ,        0.9500   ,               38.0   ,                 10577   ,
2026-02-12 13:20:48 ,        2760.0   ,           1281.5   ,               36.6   ,        44.2   ,                  38.0   ,                30   ,                  1011   ,                30   ,                  1014   ,          10788   ,         41   ,                        3   ,                   0   ,                    1   ,               68.9   ,                  40.4   ,               22.2   ,                 28.5   ,              12.1   ,               6.3   ,                12.1   ,           62.6   ,             12.1   ,                        15.3   ,               4   ,        1.0500   ,               34.0   ,                 10840   ,
2026-02-12 13:20:49 ,        2760.0   ,           1281.5   ,               36.7   ,        44.3   ,                  38.0   ,                30   ,                  1013   ,                30   ,                  1012   ,          10788   ,          0   ,                        0   ,                   0   ,                    0   ,               68.8   ,                  40.4   ,               22.1   ,                 28.4   ,              12.1   ,               6.3   ,                12.1   ,           62.5   ,             12.1   ,                        15.3   ,               4   ,        1.0500   ,               43.0   ,                 11001   ,
2026-02-12 13:20:50 ,        2520.0   ,           1281.5   ,               36.3   ,        44.2   ,                  38.0   ,                30   ,                  1012   ,                30   ,                  1009   ,          10788   ,          0   ,                        0   ,                   0   ,                    0   ,               54.4   ,                  26.0   ,               22.1   ,                 28.4   ,              12.1   ,               6.3   ,                12.1   ,           48.1   ,             12.1   ,                        12.1   ,              16   ,        0.9500   ,               40.0   ,                 11017   ,
2026-02-12 13:20:51 ,        2745.0   ,           1281.5   ,               45.1   ,        50.4   ,                  44.0   ,                30   ,                  1012   ,                30   ,                  1012   ,          10878   ,         98   ,                       93   ,                   0   ,                    0   ,              323.2   ,                 223.5   ,               92.4   ,                 99.7   ,              12.0   ,               7.4   ,                12.0   ,          315.8   ,             12.1   ,                        71.8   ,               4   ,        1.0450   ,               31.0   ,                 10996   ,
2026-02-12 13:20:52 ,        2745.0   ,           1281.5   ,               46.2   ,        51.7   ,                  48.0   ,                30   ,                  1012   ,                30   ,                  1010   ,          10878   ,        100   ,                       95   ,                   0   ,                    0   ,              316.9   ,                 219.1   ,               90.4   ,                 97.7   ,              12.0   ,               7.3   ,                12.0   ,          309.6   ,             12.1   ,                        70.4   ,               4   ,        1.0450   ,               30.0   ,                 10995   ,
2026-02-12 13:20:53 ,        2745.0   ,           1281.5   ,               46.8   ,        52.3   ,                  50.0   ,                30   ,                  1010   ,                30   ,                  1012   ,          10878   ,        100   ,                       95   ,                   0   ,                    0   ,              326.8   ,                 226.9   ,               92.6   ,                 99.9   ,              12.0   ,               7.3   ,                12.0   ,          319.5   ,             12.1   ,                        72.6   ,               4   ,        1.0450   ,               31.0   ,                 10993   ,
2026-02-12 13:20:54 ,        2745.0   ,           1281.5   ,               47.7   ,        53.3   ,                  50.0   ,                30   ,                  1009   ,                30   ,                  1014   ,          10878   ,        100   ,                       95   ,                   0   ,                    0   ,              326.8   ,                 226.9   ,               92.6   ,                 99.9   ,              12.0   ,               7.3   ,                12.0   ,          319.5   ,             12.1   ,                        72.6   ,               4   ,        1.0450   ,               30.0   ,                 10990   ,
2026-02-12 13:20:55 ,        2745.0   ,           1281.5   ,               47.8   ,        53.6   ,                  48.0   ,                30   ,                  1010   ,                30   ,                  1011   ,          10878   ,        100   ,                       95   ,                   0   ,                    0   ,              325.7   ,                 226.0   ,               92.4   ,                 99.8   ,              12.0   ,               7.3   ,                12.0   ,          318.4   ,             12.1   ,                        72.4   ,               4   ,        1.0450   ,               30.0   ,                 10988   ,
2026-02-12 13:20:56 ,        2745.0   ,           1281.5   ,               48.5   ,        54.2   ,                  52.0   ,                30   ,                  1010   ,                30   ,                  1012   ,          10878   ,        100   ,                       95   ,                   0   ,                    0   ,              325.7   ,                 226.0   ,               92.4   ,                 99.7   ,              12.0   ,               7.3   ,                12.0   ,          318.4   ,             12.1   ,                        72.4   ,               4   ,        1.0450   ,               30.0   ,                 10986   ,
2026-02-12 13:20:57 ,        2745.0   ,           1281.5   ,               49.1   ,        54.8   ,                  52.0   ,                30   ,                  1011   ,                30   ,                  1014   ,          10878   ,         99   ,                       94   ,                   0   ,                    0   ,              327.4   ,                 227.6   ,               92.6   ,                 99.9   ,              12.0   ,               7.3   ,                12.0   ,          320.1   ,             12.1   ,                        73.0   ,               4   ,        1.0500   ,               30.0   ,                 10985   ,
2026-02-12 13:20:58 ,        2745.0   ,           1281.5   ,               49.4   ,        55.1   ,                  52.0   ,                30   ,                  1010   ,                30   ,                  1014   ,          10878   ,         99   ,                       94   ,                   0   ,                    0   ,              328.2   ,                 228.0   ,               92.7   ,                100.1   ,              12.0   ,               7.4   ,                12.0   ,          320.7   ,             12.1   ,                        72.9   ,               4   ,        1.0500   ,               30.0   ,                 10984   ,
2026-02-12 13:20:59 ,        2745.0   ,           1281.5   ,               49.7   ,        55.5   ,                  52.0   ,                30   ,                  1011   ,                30   ,                  1015   ,          10878   ,        100   ,                       95   ,                   0   ,                    0   ,              328.5   ,                 228.6   ,               92.4   ,                 99.9   ,              12.0   ,               7.4   ,                12.0   ,          321.1   ,             12.1   ,                        73.0   ,               4   ,        1.0500   ,               31.0   ,                 10984   ,
2026-02-12 13:21:00 ,        2745.0   ,           1281.5   ,               50.3   ,        56.0   ,                  52.0   ,                30   ,                  1010   ,                30   ,                  1014   ,          10878   ,        100   ,                       95   ,                   0   ,                    0   ,              315.2   ,                 219.3   ,               88.6   ,                 95.9   ,              12.0   ,               7.3   ,                12.0   ,          307.9   ,             12.1   ,                        72.8   ,               4   ,        1.0500   ,               30.0   ,                 10986   ,
2026-02-12 13:21:01 ,        2745.0   ,           1281.5   ,               50.3   ,        56.3   ,                  52.0   ,                30   ,                  1010   ,                30   ,                  1015   ,          10878   ,        100   ,                       95   ,                   0   ,                    0   ,              328.8   ,                 229.1   ,               92.5   ,                 99.8   ,              12.0   ,               7.3   ,                12.0   ,          321.5   ,             12.1   ,                        73.1   ,               4   ,        1.0500   ,               29.0   ,                 10986   ,
2026-02-12 13:21:02 ,        2745.0   ,           1281.5   ,               51.0   ,        56.8   ,                  54.0   ,                30   ,                  1009   ,                30   ,                  1015   ,          10878   ,        100   ,                       95   ,                   0   ,                    0   ,              329.5   ,                 229.5   ,               92.6   ,                100.0   ,              12.0   ,               7.4   ,                12.0   ,          322.1   ,             12.1   ,                        73.4   ,               4   ,        1.0500   ,               30.0   ,                 10986   ,
2026-02-12 13:21:03 ,        2745.0   ,           1281.5   ,               51.6   ,        57.5   ,                  54.0   ,                30   ,                  1010   ,                30   ,                  1014   ,          10878   ,        100   ,                       95   ,                   0   ,                    0   ,              328.6   ,                 228.7   ,               92.5   ,                 99.8   ,              12.0   ,               7.3   ,                12.0   ,          321.3   ,             12.1   ,                        73.0   ,               4   ,        1.0500   ,               31.0   ,                 10986   ,
