        Date        , GPU Clock [MHz] , Memory Clock [MHz] , GPU Temperature [°C] , Hot Spot [°C] , Memory Temperature [°C] , Fan 1 Speed (%) [%] , Fan 1 Speed (RPM) [RPM] , Fan 2 Speed (%) [%] , Fan 2 Speed (RPM) [RPM] , Memory Used [MB] , GPU Load [%] , Memory Controller Load [%] , Video Engine Load [%] , Bus Interface Load [%] , Board Power Draw [W] , GPU Chip Power Draw [W] , MVDDC Power Draw [W] , PWR_SRC Power Draw [W] , PWR_SRC Voltage [V] , PCIe Slot Power [W] , PCIe Slot Voltage [V] , 16-Pin Power [W] , 16-Pin Voltage [V] , Power Consumption (%) [% TDP] , PerfCap Reason [] , GPU Voltage [V] , CPU Temperature [°C] , System Memory Used [MB] ,
2026-02-12 13:00:30 ,         210.0   ,             50.6   ,               28.5   ,        36.3   ,                  28.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            781   ,         10   ,                        7   ,                   0   ,                    0   ,                4.5   ,                   1.8   ,                1.5   ,                  2.8   ,              12.3   ,               1.2   ,                12.1   ,            3.3   ,             12.3   ,                         1.0   ,              16   ,        0.8850   ,               27.0   ,                  9086   ,
2026-02-12 13:00:31 ,         210.0   ,             50.6   ,               28.6   ,        36.3   ,                  28.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            786   ,         15   ,                       10   ,                   0   ,                    0   ,                6.3   ,                   1.2   ,                3.9   ,                  5.2   ,              12.3   ,               1.3   ,                12.1   ,            5.0   ,             12.3   ,                         1.4   ,              16   ,        0.8850   ,               28.0   ,                  9099   ,
2026-02-12 13:00:32 ,         210.0   ,             50.6   ,               28.5   ,        36.2   ,                  28.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            781   ,          4   ,                        2   ,                   0   ,                    0   ,                5.1   ,                   1.6   ,                2.2   ,                  3.5   ,              12.2   ,               1.3   ,                12.1   ,            3.8   ,             12.3   ,                         1.1   ,              16   ,        0.8850   ,               27.0   ,                  9098   ,
2026-02-12 13:00:33 ,         210.0   ,             50.6   ,               28.5   ,        36.2   ,                  28.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            781   ,          5   ,                        2   ,                   0   ,                    0   ,                5.3   ,                   1.5   ,                2.6   ,                  3.8   ,              12.3   ,               1.2   ,                12.1   ,            4.1   ,             12.3   ,                         1.2   ,              16   ,        0.8850   ,               27.0   ,                  9093   ,
2026-02-12 13:00:34 ,         210.0   ,             50.6   ,               28.4   ,        36.2   ,                  28.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            781   ,          3   ,                        2   ,                   0   ,                    0   ,                5.3   ,                   1.4   ,                2.6   ,                  3.8   ,              12.2   ,               1.2   ,                12.1   ,            4.0   ,             12.3   ,                         1.2   ,              16   ,        0.8850   ,               28.0   ,                  9091   ,
2026-02-12 13:00:35 ,         210.0   ,             50.6   ,               28.5   ,        36.2   ,                  28.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            786   ,          4   ,                        3   ,                   0   ,                    0   ,                6.0   ,                   1.5   ,                3.3   ,                  4.6   ,              12.2   ,               1.2   ,                12.1   ,            4.8   ,             12.3   ,                         1.3   ,              16   ,        0.8850   ,               28.0   ,                  9079   ,
2026-02-12 13:00:36 ,         210.0   ,             50.6   ,               28.4   ,        36.2   ,                  28.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            776   ,          4   ,                        2   ,                   0   ,                    0   ,                4.6   ,                   1.7   ,                1.7   ,                  2.9   ,              12.2   ,               1.2   ,                12.1   ,            3.4   ,             12.3   ,                         1.0   ,              16   ,        0.8850   ,               28.0   ,                  9083   ,
2026-02-12 13:00:37 ,         210.0   ,             50.6   ,               28.4   ,        36.2   ,                  28.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            776   ,          5   ,                        2   ,                   0   ,                    0   ,                5.9   ,                   1.3   ,                3.3   ,                  4.6   ,              12.2   ,               1.3   ,                12.1   ,            4.6   ,             12.3   ,                         1.3   ,              16   ,        0.8850   ,               28.0   ,                  9081   ,
2026-02-12 13:00:38 ,         210.0   ,             50.6   ,               28.4   ,        36.1   ,                  28.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            776   ,          2   ,                        3   ,                   0   ,                    0   ,                4.8   ,                   1.6   ,                1.9   ,                  3.2   ,              12.2   ,               1.3   ,                12.1   ,            3.5   ,             12.3   ,                         1.1   ,              16   ,        0.8850   ,               27.0   ,                  9080   ,
2026-02-12 13:00:39 ,         210.0   ,             50.6   ,               28.4   ,        36.2   ,                  28.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            790   ,          9   ,                        8   ,                   0   ,                    0   ,                6.4   ,                   1.3   ,                3.8   ,                  5.1   ,              12.3   ,               1.3   ,                12.1   ,            5.1   ,             12.3   ,                         1.4   ,              16   ,        0.8850   ,               30.0   ,                  9099   ,
