        Date        , GPU Clock [MHz] , Memory Clock [MHz] , GPU Temperature [°C] , Hot Spot [°C] , Memory Temperature [°C] , Fan 1 Speed (%) [%] , Fan 1 Speed (RPM) [RPM] , Fan 2 Speed (%) [%] , Fan 2 Speed (RPM) [RPM] , Memory Used [MB] , GPU Load [%] , Memory Controller Load [%] , Video Engine Load [%] , Bus Interface Load [%] , Board Power Draw [W] , GPU Chip Power Draw [W] , MVDDC Power Draw [W] , PWR_SRC Power Draw [W] , PWR_SRC Voltage [V] , PCIe Slot Power [W] , PCIe Slot Voltage [V] , 16-Pin Power [W] , 16-Pin Voltage [V] , Power Consumption (%) [% TDP] , PerfCap Reason [] , GPU Voltage [V] , CPU Temperature [°C] , System Memory Used [MB] ,
2026-02-11 18:12:48 ,         210.0   ,             50.6   ,               41.3   ,        51.9   ,                  48.0   ,                30   ,                  2004   ,                30   ,                  2004   ,           1217   ,          1   ,                        2   ,                   0   ,                    0   ,               15.0   ,                   7.5   ,                4.8   ,                  7.4   ,              12.3   ,               2.6   ,                12.2   ,           12.4   ,             12.2   ,                         3.3   ,              16   ,        0.8750   ,               30.0   ,                  9917   ,
2026-02-11 18:12:49 ,         210.0   ,             50.6   ,               41.3   ,        51.8   ,                  46.0   ,                30   ,                  2006   ,                30   ,                  2006   ,           1222   ,         13   ,                       16   ,                   0   ,                    0   ,               17.5   ,                   8.1   ,                6.8   ,                  9.4   ,              12.3   ,               2.6   ,                12.2   ,           14.9   ,             12.2   ,                         3.9   ,              16   ,        0.8750   ,               31.0   ,                  9912   ,
2026-02-11 18:12:50 ,         210.0   ,             50.6   ,               41.2   ,        51.8   ,                  46.0   ,                30   ,                  2004   ,                30   ,                  2004   ,           1217   ,          3   ,                        3   ,                   0   ,                    0   ,               16.2   ,                   7.7   ,                5.9   ,                  8.5   ,              12.3   ,               2.5   ,                12.2   ,           13.6   ,             12.2   ,                         3.6   ,              16   ,        0.8750   ,               30.0   ,                  9912   ,
2026-02-11 18:12:51 ,         210.0   ,             50.6   ,               41.1   ,        51.7   ,                  46.0   ,                30   ,                  2005   ,                30   ,                  2005   ,           1217   ,          4   ,                        7   ,                   0   ,                    0   ,               16.4   ,                   7.7   ,                6.1   ,                  8.7   ,              12.3   ,               2.6   ,                12.2   ,           13.8   ,             12.2   ,                         3.6   ,              16   ,        0.8750   ,               30.0   ,                  9911   ,
2026-02-11 18:12:52 ,         210.0   ,             50.6   ,               41.1   ,        51.6   ,                  46.0   ,                30   ,                  2004   ,                30   ,                  2004   ,           1221   ,          6   ,                        3   ,                   0   ,                    0   ,               16.6   ,                   7.7   ,                6.3   ,                  8.9   ,              12.3   ,               2.6   ,                12.2   ,           14.0   ,             12.2   ,                         3.7   ,              16   ,        0.8750   ,               33.0   ,                  9911   ,
2026-02-11 18:12:53 ,         210.0   ,             50.6   ,               40.9   ,        51.6   ,                  46.0   ,                30   ,                  1998   ,                30   ,                  1998   ,           1217   ,          2   ,                        6   ,                   0   ,                    0   ,               16.1   ,                   7.8   ,                5.8   ,                  8.3   ,              12.3   ,               2.5   ,                12.2   ,           13.6   ,             12.2   ,                         3.6   ,              16   ,        0.8750   ,               29.0   ,                  9909   ,
2026-02-11 18:12:54 ,         210.0   ,             50.6   ,               40.8   ,        51.4   ,                  44.0   ,                30   ,                  2004   ,                30   ,                  2004   ,           1212   ,          3   ,                        5   ,                   0   ,                    0   ,               16.7   ,                   7.5   ,                6.5   ,                  9.1   ,              12.3   ,               2.6   ,                12.2   ,           14.0   ,             12.2   ,                         3.7   ,              16   ,        0.8750   ,               29.0   ,                  9909   ,
2026-02-11 18:12:55 ,         210.0   ,             50.6   ,               40.7   ,        51.3   ,                  46.0   ,                30   ,                  1999   ,                30   ,                  1999   ,           1220   ,          1   ,                       23   ,                   0   ,                    0   ,               15.4   ,                   7.9   ,                5.1   ,                  7.5   ,              12.3   ,               2.4   ,                12.2   ,           13.0   ,             12.2   ,                         3.4   ,              16   ,        0.8750   ,               30.0   ,                  9902   ,
2026-02-11 18:12:56 ,         210.0   ,             50.6   ,               40.7   ,        51.2   ,                  44.0   ,                30   ,                  1996   ,                30   ,                  1996   ,           1222   ,         13   ,                        6   ,                   0   ,                    4   ,               17.5   ,                   8.4   ,                6.7   ,                  9.1   ,              12.3   ,               2.5   ,                12.2   ,           15.1   ,             12.2   ,                         3.9   ,              16   ,        0.8750   ,               29.0   ,                  9905   ,
2026-02-11 18:12:57 ,         210.0   ,             50.6   ,               40.6   ,        51.2   ,                  44.0   ,                30   ,                  1994   ,                30   ,                  1994   ,           1220   ,          1   ,                       14   ,                   0   ,                    0   ,               15.0   ,                   7.8   ,                4.8   ,                  7.2   ,              12.3   ,               2.4   ,                12.2   ,           12.6   ,             12.2   ,                         3.3   ,              16   ,        0.8750   ,               29.0   ,                  9905   ,
