        Date        , GPU Clock [MHz] , Memory Clock [MHz] , GPU Temperature [°C] , Hot Spot [°C] , Memory Temperature [°C] , Fan 1 Speed (%) [%] , Fan 1 Speed (RPM) [RPM] , Fan 2 Speed (%) [%] , Fan 2 Speed (RPM) [RPM] , Memory Used [MB] , GPU Load [%] , Memory Controller Load [%] , Video Engine Load [%] , Bus Interface Load [%] , Board Power Draw [W] , GPU Chip Power Draw [W] , MVDDC Power Draw [W] , PWR_SRC Power Draw [W] , PWR_SRC Voltage [V] , PCIe Slot Power [W] , PCIe Slot Voltage [V] , 16-Pin Power [W] , 16-Pin Voltage [V] , Power Consumption (%) [% TDP] , PerfCap Reason [] , GPU Voltage [V] , CPU Temperature [°C] , System Memory Used [MB] ,
2026-02-11 21:00:42 ,         210.0   ,             50.6   ,               38.3   ,        48.5   ,                  42.0   ,                30   ,                  2002   ,                30   ,                  2002   ,           1330   ,          6   ,                        5   ,                   0   ,                    0   ,               15.0   ,                   7.2   ,                5.0   ,                  7.7   ,              12.3   ,               2.8   ,                12.2   ,           12.2   ,             12.2   ,                         3.3   ,              16   ,        0.8750   ,               45.0   ,                 13747   ,
2026-02-11 21:00:43 ,         210.0   ,             50.6   ,               38.2   ,        48.5   ,                  42.0   ,                30   ,                  2002   ,                30   ,                  2002   ,           1386   ,         12   ,                        8   ,                   0   ,                    1   ,               17.1   ,                   7.7   ,                6.6   ,                  9.4   ,              12.3   ,               2.8   ,                12.2   ,           14.2   ,             12.2   ,                         3.8   ,              16   ,        0.8750   ,               44.0   ,                 13794   ,
2026-02-11 21:00:44 ,         210.0   ,             50.6   ,               38.1   ,        48.3   ,                  42.0   ,                30   ,                  1997   ,                30   ,                  1997   ,           1444   ,         19   ,                       15   ,                   0   ,                    0   ,               14.6   ,                   7.3   ,                4.5   ,                  7.3   ,              12.3   ,               2.8   ,                12.2   ,           11.8   ,             12.2   ,                         3.2   ,              16   ,        0.8750   ,               43.0   ,                 13781   ,
2026-02-11 21:00:45 ,         210.0   ,             50.6   ,               38.1   ,        48.3   ,                  42.0   ,                30   ,                  2006   ,                30   ,                  2006   ,           1393   ,         11   ,                        6   ,                   0   ,                    2   ,               19.1   ,                   8.2   ,                8.1   ,                 10.9   ,              12.3   ,               2.8   ,                12.2   ,           16.3   ,             12.2   ,                         4.2   ,              16   ,        0.8750   ,               42.0   ,                 13764   ,
2026-02-11 21:00:46 ,         210.0   ,             50.6   ,               37.9   ,        48.2   ,                  42.0   ,                30   ,                  2002   ,                30   ,                  2002   ,           1387   ,          2   ,                        4   ,                   0   ,                    0   ,               16.6   ,                   7.5   ,                6.3   ,                  9.1   ,              12.3   ,               2.8   ,                12.2   ,           13.8   ,             12.2   ,                         3.7   ,              16   ,        0.8750   ,               41.0   ,                 13791   ,
2026-02-11 21:00:47 ,         210.0   ,             50.6   ,               37.8   ,        48.1   ,                  42.0   ,                30   ,                  2002   ,                30   ,                  2003   ,           1387   ,          2   ,                        5   ,                   0   ,                    0   ,               16.2   ,                   7.6   ,                5.8   ,                  8.6   ,              12.3   ,               2.8   ,                12.2   ,           13.4   ,             12.2   ,                         3.6   ,              16   ,        0.8750   ,               40.0   ,                 13593   ,
2026-02-11 21:00:48 ,         210.0   ,             50.6   ,               37.7   ,        48.0   ,                  42.0   ,                30   ,                  1997   ,                30   ,                  1997   ,           1387   ,         15   ,                       11   ,                   0   ,                    0   ,               17.8   ,                   7.9   ,                7.1   ,                  9.9   ,              12.3   ,               2.8   ,                12.2   ,           14.9   ,             12.2   ,                         3.9   ,              16   ,        0.8750   ,               42.0   ,                 13530   ,
2026-02-11 21:00:49 ,         210.0   ,             50.6   ,               37.6   ,        47.9   ,                  42.0   ,                30   ,                  1998   ,                30   ,                  1998   ,           1382   ,          3   ,                        1   ,                   0   ,                    0   ,               16.1   ,                   7.5   ,                5.9   ,                  8.6   ,              12.3   ,               2.7   ,                12.2   ,           13.4   ,             12.2   ,                         3.6   ,              16   ,        0.8750   ,               38.0   ,                 13497   ,
2026-02-11 21:00:50 ,         210.0   ,             50.6   ,               38.2   ,        48.0   ,                  42.0   ,                30   ,                  1997   ,                30   ,                  1997   ,           1839   ,         42   ,                       29   ,                   0   ,                    8   ,               34.6   ,                  17.9   ,               13.7   ,                 16.7   ,              12.3   ,               2.9   ,                12.2   ,           31.6   ,             12.2   ,                         7.7   ,              16   ,        0.8750   ,               43.0   ,                 14059   ,
2026-02-11 21:00:51 ,        2745.0   ,           1312.7   ,               40.3   ,        49.7   ,                  44.0   ,                30   ,                  1997   ,                30   ,                  1996   ,           1991   ,         70   ,                        0   ,                   0   ,                    0   ,               89.4   ,                  54.4   ,               28.1   ,                 35.1   ,              12.2   ,               7.0   ,                12.2   ,           77.9   ,             12.2   ,                        18.9   ,               4   ,        1.0500   ,               38.0   ,                 14077   ,
