2025-09-14 12:15:41
GPU: RTX4090
Model: qwen2.5-coder:32b

| GPU | Model | Prompt Tokens | PP/s | TTFT | Generated Tokens | TG/s | Duration |
| --- | ----- | ------------- | ---- | ---- | ---------------- | ---- | -------- |
| RTX4090 | qwen2.5-coder:32b | 488 | 2003.06 | 0.24 | 871 | 38.90 | 22.64 |
| RTX4090 | qwen2.5-coder:32b | 743 | 1983.53 | 0.37 | 1022 | 38.70 | 26.78 |
| RTX4090 | qwen2.5-coder:32b | 1176 | 2056.04 | 0.57 | 1158 | 36.66 | 32.16 |
| RTX4090 | qwen2.5-coder:32b | 1896 | 2141.65 | 0.89 | 1401 | 36.11 | 39.69 |
| RTX4090 | qwen2.5-coder:32b | 3156 | 2024.40 | 1.56 | 1894 | 35.29 | 55.23 |
| RTX4090 | qwen2.5-coder:32b | 4096 | 1930.88 | 2.12 | 928 | 35.24 | 28.46 |
| RTX4090 | qwen2.5-coder:32b | 4096 | 1919.52 | 2.13 | 1250 | 35.18 | 37.66 |
| RTX4090 | qwen2.5-coder:32b | 4096 | 1898.22 | 2.16 | 730 | 35.24 | 22.87 |
| RTX4090 | qwen2.5-coder:32b | 4096 | 1864.37 | 2.20 | 725 | 35.27 | 22.75 |
| RTX4090 | qwen2.5-coder:32b | 4096 | 1818.28 | 2.25 | 714 | 35.25 | 22.51 |

Total duration: 6m40s
