2025-09-14 12:09:07
GPU: RTX4090
Model: qwen3-coder:latest

| GPU | Model | Prompt Tokens | PP/s | TTFT | Generated Tokens | TG/s | Duration |
| --- | ----- | ------------- | ---- | ---- | ---------------- | ---- | -------- |
| RTX4090 | qwen3-coder:latest | 488 | 2453.94 | 0.20 | 517 | 130.27 | 4.17 |
| RTX4090 | qwen3-coder:latest | 743 | 2356.44 | 0.32 | 924 | 128.64 | 7.50 |
| RTX4090 | qwen3-coder:latest | 1176 | 2439.63 | 0.48 | 599 | 127.53 | 5.18 |
| RTX4090 | qwen3-coder:latest | 1896 | 2613.20 | 0.73 | 804 | 124.18 | 7.20 |
| RTX4090 | qwen3-coder:latest | 3156 | 2523.00 | 1.25 | 1136 | 117.54 | 10.92 |
| RTX4090 | qwen3-coder:latest | 4096 | 2481.57 | 1.65 | 1303 | 118.42 | 12.65 |
| RTX4090 | qwen3-coder:latest | 4096 | 2458.67 | 1.67 | 1064 | 118.24 | 10.66 |
| RTX4090 | qwen3-coder:latest | 4096 | 2409.75 | 1.70 | 1287 | 117.99 | 12.61 |
| RTX4090 | qwen3-coder:latest | 4096 | 2360.79 | 1.74 | 1210 | 117.84 | 12.00 |
| RTX4090 | qwen3-coder:latest | 4096 | 2301.99 | 1.78 | 913 | 118.23 | 9.50 |

Total duration: 3m2s
