# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0     35     34      -      0      0      0      0      0      0    405    210      1      2      0 
    1     23     35      -      0      0      0      0      0      0    405    210      1      2      0 
    0     53     35      -      0      0      0      0      0      0  10501   2520    396      5      0 
    1     25     36      -      0      0      0      0      0      0  10501   2520    396      5      0 
    0     73     35      -      0      0      0      0      0      0  10501   2520    396      5      0 
    1     61     36      -      0      0      0      0      0      0  10501   2520    396      5      0 
    0     74     35      -      0      0      0      0      0      0  10501   2520    396      5      0 
    1     59     36      -      0      0      0      0      0      0  10501   2520    396      5      0 
    0     73     35      -      0      0      0      0      0      0  10501   2520    396      5      0 
    1     59     36      -      0      0      0      0      0      0  10501   2520    396      5      0 
    0     73     35      -      0      0      0      0      0      0  10501   2520    396      5      0 
    1     60     36      -      0      0      0      0      0      0  10501   2520    396      5      0 
    0     74     35      -      0      0      0      0      0      0  10501   2520    396      5      0 
    1     60     36      -      0      0      0      0      0      0  10501   2520    396      5      0 
    0     73     35      -      0      0      0      0      0      0  10501   2520  35948      5      0 
    1     58     36      -      0      0      0      0      0      0  10501   2520  35280      5      0 
    0     75     35      -      6      0      0      0      0      0  10501   2520  35948      5      0 
    1     62     36      -      0      0      0      0      0      0  10501   2520  35280      5      0 
    0     75     36      -      6      0      0      0      0      0  10501   2520  35948      5      0 
    1     60     37      -      0      0      0      0      0      0  10501   2520  35280      5      0 
    0     75     36      -      7      0      0      0      0      0  10501   2520  35948      5      0 
    1     61     37      -      0      0      0      0      0      0  10501   2520  35280      5      0 
    0     75     36      -      7      0      0      0      0      0  10501   2520  35948      5      0 
    1     61     37      -      0      0      0      0      0      0  10501   2520  35280      5      0 
    0     75     36      -      7      0      0      0      0      0  10501   2520  35948      5      0 
    1     60     37      -      0      0      0      0      0      0  10501   2520  35280      5      0 
    0     76     36      -      9      0      0      0      0      0  10501   2520  35948      5      0 
    1     61     37      -      0      0      0      0      0      0  10501   2520  35280      5      0 
