# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0     35     44      -      0      0      0      0      0      0    405    210      1      2      0 
    1     20     47      -      0      0      0      0      0      0    405    210      1      2      0 
    0     50     45      -      0      0      0      0      0      0  10501   2520    396      5      0 
    1     32     48      -      3      0      0      0      0      0  10501   2520    396      5      0 
    0     79     45      -      0      0      0      0      0      0  10501   2520    396      5      0 
    1     66     48      -      0      0      0      0      0      0  10501   2520    396      5      0 
    0     79     45      -      0      0      0      0      0      0  10501   2520    396      5      0 
    1     65     48      -      0      0      0      0      0      0  10501   2520    396      5      0 
    0     79     45      -      0      0      0      0      0      0  10501   2520    396      5      0 
    1     65     48      -      0      0      0      0      0      0  10501   2520    396      5      0 
    0     79     45      -      0      0      0      0      0      0  10501   2520    396      5      0 
    1     65     48      -      0      0      0      0      0      0  10501   2520    396      5      0 
    0     79     45      -      0      0      0      0      0      0  10501   2520  32128      5      0 
    1     66     48      -      0      0      0      0      0      0  10501   2520  29894      5      0 
    0     80     45      -      8      0      0      0      0      0  10501   2520  32128      5      0 
    1     67     48      -      0      0      0      0      0      0  10501   2520  29894      5      0 
    0     80     45      -      6      0      0      0      0      0  10501   2520  32128      5      0 
    1     66     48      -      0      0      0      0      0      0  10501   2520  29894      5      0 
    0     79     45      -      7      0      0      0      0      0  10501   2520  32128      5      0 
    1     64     48      -      0      0      0      0      0      0  10501   2520  29894      5      0 
    0     80     45      -      7      0      0      0      0      0  10501   2520  32128      5      0 
    1     64     48      -      0      0      0      0      0      0  10501   2520  29894      5      0 
    0     79     45      -      8      0      0      0      0      0  10501   2520  32128      5      0 
    1     64     48      -      0      0      0      0      0      0  10501   2520  29894      5      0 
    0     80     44      -      8      0      0      0      0      0  10501   2520  32128      5      0 
    1     64     48      -      0      0      0      0      0      0  10501   2520  29894      5      0 
    0     80     45      -      8      0      0      0      0      0  10501   2520  32128      5      0 
    1     65     48      -      0      0      0      0      0      0  10501   2520  29894      5      0 
    0     80     44      -      7      0      0      0      0      0  10501   2520  32128      5      0 
    1     65     48      -      0      0      0      0      0      0  10501   2520  29894      5      0 
    0     80     44      -      8      0      0      0      0      0  10501   2520  32128      5      0 
    1     65     48      -      0      0      0      0      0      0  10501   2520  29894      5      0 
    0     80     44      -      8      0      0      0      0      0  10501   2520  32128      5      0 
    1     65     48      -      0      0      0      0      0      0  10501   2520  29894      5      0 
    0     80     44      -      6      0      0      0      0      0  10501   2520  32128      5      0 
    1     64     48      -      0      0      0      0      0      0  10501   2520  29894      5      0 
    0     79     44      -      8      0      0      0      0      0  10501   2520  32128      5      0 
    1     64     48      -      0      0      0      0      0      0  10501   2520  29894      5      0 
    0     79     44      -      8      0      0      0      0      0  10501   2520  32128      5      0 
    1     65     48      -      0      0      0      0      0      0  10501   2520  29894      5      0 
    0     80     44      -      8      0      0      0      0      0  10501   2520  32128      5      0 
    1     65     48      -      0      0      0      0      0      0  10501   2520  29894      5      0 
    0     79     44      -      8      0      0      0      0      0  10501   2520  32128      5      0 
    1     63     48      -      0      0      0      0      0      0  10501   2520  29894      5      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0     79     44      -      8      0      0      0      0      0  10501   2520  32128      5      0 
    1     63     48      -      0      0      0      0      0      0  10501   2520  29894      5      0 
    0     79     44      -      9      0      0      0      0      0  10501   2520  32128      5      0 
    1     60     47      -      0      0      0      0      0      0  10501   2520  29894      5      0 
    0     80     44      -      9      0      0      0      0      0  10501   2520  32128      5      0 
    1     44     47      -      0      0      0      0      0      0    405    285  29894      5      0 
    0     80     44      -      8      0      0      0      0      0  10501   2520  32128      5      0 
    1     26     47      -      0      0      0      0      0      0    405    210  29894      5      0 
    0     79     44      -      8      0      0      0      0      0  10501   2520  32128      5      0 
    1     20     47      -      0      0      0      0      0      0    405    210  29894      5      0 
    0     80     44      -      8      0      0      0      0      0  10501   2520  32128      5      0 
    1     20     47      -      0      0      0      0      0      0    405    210  29894      5      0 
    0     79     44      -      8      0      0      0      0      0  10501   2520  32128      5      0 
    1     20     46      -      0      0      0      0      0      0    405    210  29894      5      0 
    0     80     44      -      9      0      0      0      0      0  10501   2520  32128      5      0 
    1     20     46      -      0      0      0      0      0      0    405    210  29894      5      0 
    0     79     44      -      8      0      0      0      0      0  10501   2520  32128      5      0 
    1     20     46      -      0      0      0      0      0      0    405    210  29894      5      0 
    0     79     43      -      8      0      0      0      0      0  10501   2520  32128      5      0 
    1     20     46      -      0      0      0      0      0      0    405    210  29894      5      0 
    0     79     44      -      7      0      0      0      0      0  10501   2520  32128      5      0 
    1     20     46      -      0      0      0      0      0      0    405    210  29894      5      0 
    0     79     43      -      9      0      0      0      0      0  10501   2520  32128      5      0 
    1     20     46      -      0      0      0      0      0      0    405    210  29894      5      0 
    0     80     43      -      7      0      0      0      0      0  10501   2520  32128      5      0 
    1     20     46      -      0      0      0      0      0      0    405    210  29894      5      0 
    0     79     43      -      8      0      0      0      0      0  10501   2520  32128      5      0 
    1     20     46      -      0      0      0      0      0      0    405    210  29894      5      0 
    0     80     43      -      8      0      0      0      0      0  10501   2520  32128      5      0 
    1     20     46      -      0      0      0      0      0      0    405    210  29894      5      0 
    0     79     43      -      7      0      0      0      0      0  10501   2520  32128      5      0 
    1     20     46      -      0      0      0      0      0      0    405    210  29894      5      0 
    0     79     43      -      8      0      0      0      0      0  10501   2520  32128      5      0 
    1     20     46      -      0      0      0      0      0      0  10501   2520  29894      5      0 
    0     79     43      -      0      0      0      0      0      0  10501   2520  32128      5      0 
    1     48     47      -      8      0      0      0      0      0  10501   2520  29894      5      0 
    0     79     43      -      0      0      0      0      0      0  10501   2520  32128      5      0 
    1     67     47      -      8      0      0      0      0      0  10501   2520  29894      5      0 
    0     78     43      -      0      0      0      0      0      0  10501   2520  32128      5      0 
    1     66     47      -      8      0      0      0      0      0  10501   2520  29894      5      0 
    0     78     43      -      0      0      0      0      0      0  10501   2520  32128      5      0 
    1     66     47      -      8      0      0      0      0      0  10501   2520  29894      5      0 
    0     78     43      -      0      0      0      0      0      0  10501   2520  32128      5      0 
    1     66     47      -      7      0      0      0      0      0  10501   2520  29894      5      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0     78     43      -      0      0      0      0      0      0  10501   2520  32128      5      0 
    1     65     47      -      9      0      0      0      0      0  10501   2520  29894      5      0 
    0     78     43      -      0      0      0      0      0      0  10501   2520  32128      5      0 
    1     66     47      -      8      0      0      0      0      0  10501   2520  29894      5      0 
    0     78     43      -      0      0      0      0      0      0  10501   2520  32128      5      0 
    1     66     47      -      8      0      0      0      0      0  10501   2520  29894      5      0 
    0     78     43      -      0      0      0      0      0      0  10501   2520  32128      5      0 
    1     66     47      -      8      0      0      0      0      0  10501   2520  29894      5      0 
    0     78     43      -      0      0      0      0      0      0  10501   2520  32128      5      0 
    1     65     47      -      8      0      0      0      0      0  10501   2520  29894      5      0 
    0     77     43      -      0      0      0      0      0      0  10501   2520  32128      5      0 
    1     65     47      -      8      0      0      0      0      0  10501   2520  29894      5      0 
    0     78     43      -      0      0      0      0      0      0  10501   2520  32128      5      0 
    1     66     47      -      8      0      0      0      0      0  10501   2520  29894      5      0 
    0     78     43      -      0      0      0      0      0      0  10501   2520  32128      5      0 
    1     65     47      -      9      0      0      0      0      0  10501   2520  29894      5      0 
    0     78     43      -      0      0      0      0      0      0  10501   2520  32128      5      0 
    1     66     47      -      7      0      0      0      0      0  10501   2520  29894      5      0 
    0     77     42      -      0      0      0      0      0      0  10501   2520  32128      5      0 
    1     66     47      -      8      0      0      0      0      0  10501   2520  29894      5      0 
    0     78     42      -      0      0      0      0      0      0  10501   2520  32128      5      0 
    1     65     47      -      9      0      0      0      0      0  10501   2520  29894      5      0 
    0     78     42      -      0      0      0      0      0      0  10501   2520  32128      5      0 
    1     67     47      -      8      0      0      0      0      0  10501   2520  29894      5      0 
    0     65     41      -      0      0      0      0      0      0    810    420  32128      5      0 
    1     66     47      -      8      0      0      0      0      0  10501   2520  29894      5      0 
    0     45     41      -      0      0      0      0      0      0    405    270  32128      5      0 
    1     66     47      -      7      0      0      0      0      0  10501   2520  29894      5      0 
    0     36     41      -      0      0      0      0      0      0    405    210  32128      5      0 
    1     66     47      -      8      0      0      0      0      0  10501   2520  29894      5      0 
    0     35     41      -      0      0      0      0      0      0    405    210  32128      5      0 
    1     66     47      -      8      0      0      0      0      0  10501   2520  29894      5      0 
    0     35     41      -      0      0      0      0      0      0    405    210  32128      5      0 
    1     66     47      -      8      0      0      0      0      0  10501   2520  29894      5      0 
    0     35     41      -      0      0      0      0      0      0    405    210  32128      5      0 
    1     67     46      -      8      0      0      0      0      0  10501   2520  29894      5      0 
    0     35     40      -      0      0      0      0      0      0    405    210  32128      5      0 
    1     67     47      -      7      0      0      0      0      0  10501   2520  29894      5      0 
    0     35     40      -      0      0      0      0      0      0    405    210  32128      5      0 
    1     66     46      -      8      0      0      0      0      0  10501   2520  29894      5      0 
