# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0     35     43      -      0      0      0      0      0      0    405    210      1      2      0 
    1     26     50      -      0      0      0      0      0      0    405    210      1      2      0 
    0     51     45      -      1      0      0      0      0      0  10501   2520  22684      5      0 
    1     33     51      -      0      0      0      0      0      0  10501   2520  22656      5      0 
    0     79     44      -      0      0      0      0      0      0  10501   2520  22684      5      0 
    1     68     51      -      0      0      0      0      0      0  10501   2520  22656      5      0 
    0     80     44      -      8      0      0      0      0      0  10501   2520  22684      5      0 
    1     67     52      -      0      0      0      0      0      0  10501   2520  22656      5      0 
    0     79     44      -      8      0      0      0      0      0  10501   2520  22684      5      0 
    1     68     51      -      0      0      0      0      0      0  10501   2520  22656      5      0 
    0     80     44      -      7      0      0      0      0      0  10501   2520  22684      5      0 
    1     68     51      -      0      0      0      0      0      0  10501   2520  22656      5      0 
    0     79     44      -      8      0      0      0      0      0  10501   2520  22684      5      0 
    1     67     51      -      0      0      0      0      0      0  10501   2520  22656      5      0 
    0     80     44      -      7      0      0      0      0      0  10501   2520  22684      5      0 
    1     66     51      -      0      0      0      0      0      0  10501   2520  22656      5      0 
    0     79     44      -      8      0      0      0      0      0  10501   2520  22684      5      0 
    1     66     51      -      0      0      0      0      0      0  10501   2520  22656      5      0 
    0     79     44      -      9      0      0      0      0      0  10501   2520  22684      5      0 
    1     66     51      -      0      0      0      0      0      0  10501   2520  22656      5      0 
    0     79     44      -      7      0      0      0      0      0  10501   2520  22684      5      0 
    1     66     51      -      0      0      0      0      0      0  10501   2520  22656      5      0 
    0     79     44      -      7      0      0      0      0      0  10501   2520  22684      5      0 
    1     67     51      -      0      0      0      0      0      0  10501   2520  22656      5      0 
    0     80     44      -      8      0      0      0      0      0  10501   2520  22684      5      0 
    1     67     51      -      0      0      0      0      0      0  10501   2520  22656      5      0 
    0     79     44      -      8      0      0      0      0      0  10501   2520  22684      5      0 
    1     65     51      -      0      0      0      0      0      0  10501   2520  22656      5      0 
    0     80     44      -      7      0      0      0      0      0  10501   2520  22684      5      0 
    1     65     51      -      0      0      0      0      0      0  10501   2520  22656      5      0 
    0     79     44      -      7      0      0      0      0      0  10501   2520  22684      5      0 
    1     67     51      -      0      0      0      0      0      0  10501   2520  22656      5      0 
    0     80     44      -      9      0      0      0      0      0  10501   2520  22684      5      0 
    1     66     51      -      0      0      0      0      0      0  10501   2520  22656      5      0 
    0     79     44      -      8      0      0      0      0      0  10501   2520  22684      5      0 
    1     66     51      -      0      0      0      0      0      0  10501   2520  22656      5      0 
    0     79     43      -      9      0      0      0      0      0  10501   2520  22684      5      0 
    1     58     50      -      0      0      0      0      0      0    810    405  22656      5      0 
    0     79     43      -      7      0      0      0      0      0  10501   2520  22684      5      0 
    1     39     49      -      0      0      0      0      0      0    405    255  22656      5      0 
    0     78     43      -      7      0      0      0      0      0  10501   2520  22684      5      0 
    1     24     49      -      0      0      0      0      0      0    405    210  22656      5      0 
    0     79     43      -      8      0      0      0      0      0  10501   2520  22684      5      0 
    1     20     49      -      0      0      0      0      0      0    405    210  22656      5      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0     78     43      -      8      0      0      0      0      0  10501   2520  22684      5      0 
    1     20     49      -      0      0      0      0      0      0    405    210  22656      5      0 
    0     79     43      -      8      0      0      0      0      0  10501   2520  22684      5      0 
    1     20     49      -      0      0      0      0      0      0    405    210  22656      5      0 
    0     79     44      -      6      0      0      0      0      0  10501   2520  22684      5      0 
    1     20     49      -      0      0      0      0      0      0    405    210  22656      5      0 
    0     79     43      -      7      0      0      0      0      0  10501   2520  22684      5      0 
    1     20     49      -      0      0      0      0      0      0    405    210  22656      5      0 
    0     79     43      -      7      0      0      0      0      0  10501   2520  22684      5      0 
    1     43     50      -      8      0      0      0      0      0  10501   2520  22656      5      0 
    0     79     43      -      0      0      0      0      0      0  10501   2520  22684      5      0 
    1     66     50      -      7      0      0      0      0      0  10501   2520  22656      5      0 
    0     78     43      -      0      0      0      0      0      0  10501   2520  22684      5      0 
    1     67     50      -      7      0      0      0      0      0  10501   2520  22656      5      0 
    0     78     43      -      0      0      0      0      0      0  10501   2520  22684      5      0 
    1     66     50      -      8      0      0      0      0      0  10501   2520  22656      5      0 
    0     78     43      -      0      0      0      0      0      0  10501   2520  22684      5      0 
    1     67     50      -      8      0      0      0      0      0  10501   2520  22656      5      0 
    0     78     43      -      0      0      0      0      0      0  10501   2520  22684      5      0 
    1     69     50      -      9      0      0      0      0      0  10501   2520  22656      5      0 
    0     78     43      -      0      0      0      0      0      0  10501   2520  22684      5      0 
    1     67     50      -      8      0      0      0      0      0  10501   2520  22656      5      0 
    0     78     43      -      0      0      0      0      0      0  10501   2520  22684      5      0 
    1     67     50      -      9      0      0      0      0      0  10501   2520  22656      5      0 
    0     78     43      -      0      0      0      0      0      0  10501   2520  22684      5      0 
    1     66     50      -      6      0      0      0      0      0  10501   2520  22656      5      0 
    0     78     43      -      0      0      0      0      0      0  10501   2520  22684      5      0 
    1     67     50      -      7      0      0      0      0      0  10501   2520  22656      5      0 
    0     77     43      -      0      0      0      0      0      0  10501   2520  22684      5      0 
    1     67     49      -      9      0      0      0      0      0  10501   2520  22656      5      0 
    0     78     43      -      0      0      0      0      0      0  10501   2520  22684      5      0 
    1     67     49      -     10      0      0      0      0      0  10501   2520  22656      5      0 
    0     77     43      -      0      0      0      0      0      0  10501   2520  22684      5      0 
    1     67     49      -     10      0      0      0      0      0  10501   2520  22656      5      0 
    0     78     43      -      0      0      0      0      0      0  10501   2520  22684      5      0 
    1     67     49      -      9      0      0      0      0      0  10501   2520  22656      5      0 
    0     78     42      -      0      0      0      0      0      0  10501   2520  22684      5      0 
    1     67     49      -      7      0      0      0      0      0  10501   2520  22656      5      0 
    0     77     42      -      0      0      0      0      0      0  10501   2520  22684      5      0 
    1     66     49      -      8      0      0      0      0      0  10501   2520  22656      5      0 
    0     78     42      -      0      0      0      0      0      0  10501   2520  22684      5      0 
    1     67     49      -      8      0      0      0      0      0  10501   2520  22656      5      0 
    0     71     42      -      0      0      0      0      0      0    810    435  22684      5      0 
    1     66     49      -      7      0      0      0      0      0  10501   2520  22656      5      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0     51     41      -      0      0      0      0      0      0    405    270  22684      5      0 
    1     68     49      -      7      0      0      0      0      0  10501   2520  22656      5      0 
    0     36     41      -      0      0      0      0      0      0    405    210  22684      5      0 
    1     67     49      -      8      0      0      0      0      0  10501   2520  22656      5      0 
    0     35     41      -      0      0      0      0      0      0    405    210  22684      5      0 
    1     68     49      -      7      0      0      0      0      0  10501   2520  22656      5      0 
    0     35     41      -      0      0      0      0      0      0    405    210  22684      5      0 
    1     66     49      -      8      0      0      0      0      0  10501   2520  22656      5      0 
    0     35     41      -      0      0      0      0      0      0    405    210  22684      5      0 
    1     66     49      -      7      0      0      0      0      0  10501   2520  22656      5      0 
    0     35     41      -      0      0      0      0      0      0    405    210  23116      5      0 
    1     68     49      -      8      0      0      0      0      0  10501   2520  23116      5      0 
    0     90     43      -     99     15      0      0      0      0  10501   2040  23116      5      0 
    1     85     53      -     55     18      0      0      0      0  10501    645  23174      5      0 
    0    135     42      -      0      0      0      0      0      0  10501   2520  23116      5      0 
    1    106     53      -      0      0      0      0      0      0  10501    645  23174      5      0 
    0    135     44      -    100     14      0      0      0      0  10501    570  23116      5      0 
    1    107     53      -      0      0      0      0      0      0  10501    615  23174      5      0 
    0    123     46      -    100     14      0      0      0      0  10501    540  23116      5      0 
    1    120     50      -    100     17      0      0      0      0  10501   2520  23174      5      0 
    0    120     45      -    100     16      0      0      0      0  10501    540  23376      5      0 
    1    121     50      -    100     17      0      0      0      0  10501   2520  23414      5      0 
    0    154     45      -    100     12      0      0      0      0  10501    450  23376      5      0 
    1    114     53      -      0      0      0      0      0      0  10501    600  23414      5      0 
    0    149     45      -    100     12      0      0      0      0  10501    480  23376      5      0 
    1    135     51      -    100     16      0      0      0      0  10501   2520  23414      5      0 
    0    149     46      -    100     12      0      0      0      0  10501    465  23376      5      0 
    1    123     50      -    100     16      0      0      0      0  10501   2520  23414      5      0 
    0    118     46      -    100     14      0      0      0      0  10501    540  23376      5      0 
    1    121     50      -    100     16      0      0      0      0  10501   2520  23414      5      0 
    0    152     46      -    100     12      0      0      0      0  10501    480  23376      5      0 
    1    120     51      -    100     15      0      0      0      0  10501   2520  23414      5      0 
    0    149     46      -    100     13      0      0      0      0  10501    495  23376      5      0 
    1    122     50      -    100     16      0      0      0      0  10501   2520  23414      5      0 
    0    148     44      -     78     10      0      0      0      0  10501   2265  23376      5      0 
    1    132     54      -    100     17      0      0      0      0  10501    630  23414      5      0 
    0    121     46      -    100     14      0      0      0      0  10501    540  23376      5      0 
    1    123     50      -    100     17      0      0      0      0  10501   2520  23414      5      0 
    0    151     46      -    100     14      0      0      0      0  10501    540  23376      5      0 
    1    121     51      -    100     17      0      0      0      0  10501   2520  23414      5      0 
    0    149     48      -     78     10      0      0      0      0  10501    465  23376      5      0 
    1    151     55      -    100     17      0      0      0      0  10501    585  23414      5      0 
    0    139     44      -      0      0      0      0      0      0  10501   2520  23376      5      0 
    1    131     54      -      0      0      0      0      0      0  10501    615  23414      5      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0    128     47      -    100     15      0      0      0      0  10501    555  23376      5      0 
    1    109     50      -      0      0      0      0      0      0  10501    495  23414      5      0 
    0    150     47      -     76     15      0      0      0      0  10501    510  23376      5      0 
    1    144     54      -    100     17      0      0      0      0  10501    615  23414      5      0 
    0    150     47      -    100     15      0      0      0      0  10501    510  23376      5      0 
    1    141     54      -      0      0      0      0      0      0  10501    615  23414      5      0 
    0    118     44      -      0      0      0      0      0      0  10501   2520  23722      5      0 
    1    144     54      -     10      5      0      0      0      0  10501    555  23734      5      0 
    0    145     47      -    100     13      0      0      0      0  10501    435  23722      5      0 
    1    104     54      -      0      0      0      0      0      0  10501    630  23734      5      0 
