# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0     35     46      -      0      0      0      0      0      0    405    210      1      2      0 
    1     27     49      -      0      0      0      0      0      0    405    210      1      2      0 
    0     64     47      -      0      0      0      0      0      0  10501   2520  22684      5      0 
    1     32     49      -      0      0      0      0      0      0  10501   2520  22656      5      0 
    0     81     47      -      9      0      0      0      0      0  10501   2520  22684      5      0 
    1     68     49      -      0      0      0      0      0      0  10501   2520  22656      5      0 
    0     81     47      -      6      0      0      0      0      0  10501   2520  22684      5      0 
    1     68     49      -      0      0      0      0      0      0  10501   2520  22656      5      0 
    0     81     47      -      8      0      0      0      0      0  10501   2520  22684      5      0 
    1     67     50      -      0      0      0      0      0      0  10501   2520  22656      5      0 
    0     81     47      -      7      0      0      0      0      0  10501   2520  22684      5      0 
    1     68     49      -      0      0      0      0      0      0  10501   2520  22656      5      0 
    0     82     47      -      8      0      0      0      0      0  10501   2520  22684      5      0 
    1     69     49      -      0      0      0      0      0      0  10501   2520  22656      5      0 
    0     81     47      -      9      0      0      0      0      0  10501   2520  22684      5      0 
    1     67     49      -      0      0      0      0      0      0  10501   2520  22656      5      0 
    0     81     47      -      8      0      0      0      0      0  10501   2520  22684      5      0 
    1     67     49      -      0      0      0      0      0      0  10501   2520  22656      5      0 
    0     81     47      -      7      0      0      0      0      0  10501   2520  22684      5      0 
    1     67     49      -      0      0      0      0      0      0  10501   2520  22656      5      0 
    0     81     47      -      7      0      0      0      0      0  10501   2520  22684      5      0 
    1     68     49      -      0      0      0      0      0      0  10501   2520  22656      5      0 
    0     81     47      -      8      0      0      0      0      0  10501   2520  22684      5      0 
    1     67     49      -      0      0      0      0      0      0  10501   2520  22656      5      0 
    0     80     46      -      9      0      0      0      0      0  10501   2520  22684      5      0 
    1     66     49      -      0      0      0      0      0      0  10501   2520  22656      5      0 
    0     81     46      -      8      0      0      0      0      0  10501   2520  22684      5      0 
    1     66     49      -      0      0      0      0      0      0  10501   2520  22656      5      0 
    0     80     46      -      7      0      0      0      0      0  10501   2520  22684      5      0 
    1     66     49      -      0      0      0      0      0      0  10501   2520  22656      5      0 
    0     81     46      -      7      0      0      0      0      0  10501   2520  22684      5      0 
    1     67     49      -      0      0      0      0      0      0  10501   2520  22656      5      0 
    0     81     46      -      8      0      0      0      0      0  10501   2520  22684      5      0 
    1     66     49      -      0      0      0      0      0      0  10501   2520  22656      5      0 
    0     81     46      -      8      0      0      0      0      0  10501   2520  22684      5      0 
    1     65     49      -      0      0      0      0      0      0  10501   2520  22656      5      0 
